,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
125,1.0,61242.0,126763.0,All,,5.5,,,,,5.5,,,,313.133333333,20.3333333333,57.5
126,1.0,61242.0,126763.0,Economic_disadv,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,301.4,12.0,30.0
127,1.0,61242.0,126763.0,NOT_economic_disadv,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,327.9,9.5,27.5
128,1.0,61242.0,134668.0,All,382.333333333,601.0,44.2,45.7333333333,10.0666666667,373.0,601.0,43.3,45.0333333333,11.6666666667,340.84,475.333333333,1377.5
129,1.0,61242.0,134668.0,Economic_disadv,29.0,39.6666666667,24.6,12.7,12.7,28.5,39.6666666667,24.15,11.0,14.85,329.74,278.6,643.5
130,1.0,61242.0,134668.0,NOT_economic_disadv,204.666666667,288.666666667,23.6333333333,5.36666666667,4.33333333333,194.333333333,288.666666667,22.4333333333,5.13333333333,5.76666666667,351.54,290.4,734.0
131,1.0,61259.0,1.0,All,,1.0,,,,,1.0,,,,,3.0,43.0
132,1.0,61259.0,1.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,5.0
133,1.0,61259.0,1.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,38.0
134,1.0,61259.0,100065.0,All,38.6666666667,92.0,40.2,47.1666666667,12.6333333333,47.6666666667,92.0,51.8333333333,23.9333333333,24.2333333333,324.7,60.0,124.666666667
135,1.0,61259.0,100065.0,Economic_disadv,33.0,76.0,40.6666666667,47.7,11.6333333333,39.6666666667,76.0,52.2,25.4666666667,22.3333333333,325.933333333,51.5,106.333333333
136,1.0,61259.0,100065.0,NOT_economic_disadv,4.0,11.0,29.1,49.4,21.5,6.5,11.0,48.2,17.9,33.9,322.7,8.0,18.3333333333
137,1.0,61259.0,100701.0,All,10.6666666667,35.0,29.7,59.1,11.2,15.3333333333,35.0,44.0666666667,29.2,26.7333333333,298.1,32.3333333333,38.0
138,1.0,61259.0,100701.0,Economic_disadv,3.0,11.3333333333,9.7,35.5,4.8,7.5,11.3333333333,24.2,14.5,11.3,294.966666667,27.0,31.5
139,1.0,61259.0,100701.0,NOT_economic_disadv,4.5,5.33333333333,37.5,4.15,8.35,2.5,5.33333333333,20.85,16.65,12.5,,4.5,6.5
140,1.0,61259.0,106542.0,All,,5.66666666667,,,,,5.66666666667,,,,,3.66666666667,2.0
141,1.0,61259.0,106542.0,Economic_disadv,,5.0,,,,,5.0,,,,,1.0,2.0
142,1.0,61259.0,106542.0,NOT_economic_disadv,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,,0.0,0.0
143,1.0,61259.0,106906.0,All,20.0,48.0,41.45,50.25,8.3,29.0,48.0,60.35,19.9,19.75,324.9,27.3333333333,122.5
144,1.0,61259.0,106906.0,Economic_disadv,18.0,41.0,42.3,51.65,6.05,26.0,41.0,63.0,18.9,18.1,324.066666667,25.6666666667,106.0
145,1.0,61259.0,106906.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,14.0
146,1.0,61259.0,108944.0,All,40.6666666667,73.6666666667,55.8666666667,32.9666666667,11.1666666667,45.6666666667,73.6666666667,62.5,16.2333333333,21.2666666667,354.6,61.6666666667,93.0
147,1.0,61259.0,108944.0,Economic_disadv,35.3333333333,64.3333333333,55.8,33.1333333333,11.0666666667,39.6666666667,64.3333333333,62.2,17.0333333333,20.7666666667,351.766666667,53.0,82.5
148,1.0,61259.0,108944.0,NOT_economic_disadv,0.0,5.33333333333,0.0,0.0,0.0,0.0,5.33333333333,0.0,0.0,0.0,376.9,8.66666666667,10.5
149,1.0,61259.0,110189.0,All,17.6666666667,46.6666666667,37.9666666667,53.8333333333,8.2,24.3333333333,46.6666666667,54.5666666667,24.1666666667,21.2666666667,280.5,29.4,81.3333333333
150,1.0,61259.0,110189.0,Economic_disadv,9.5,15.0,23.15,20.75,6.1,12.0,15.0,29.25,9.75,11.0,280.833333333,33.5,73.6666666667
